강좌번호,학점,교과목명,구분,시간,개설대학,담당교수,성향,강의시간,시간벡터
TCHR0610-003,2.0,교육평가,교직,"수 3A,3B
수 4A,4B",사범대학,유신복,"1,3,3,2,0,3,3,3,0,2,0,2,0,0,0,1","수 11.0, 11.5
수 12.0, 12.5","['수 11.0', '수 11.5', '수 12.0', '수 12.5']"
TCHR0610-004,2.0,교육평가,교직,"수 5A,5B
수 6A,6B",사범대학,유신복,"2,1,3,3,3,3,3,1,3,0,3,2,0,1,2,3","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0610-005,2.0,교육평가,교직,"화 3A,3B
화 4A,4B",사범대학,박민애,"0,3,0,2,3,2,1,1,2,1,0,2,2,1,1,1","화 11.0, 11.5
화 12.0, 12.5","['화 11.0', '화 11.5', '화 12.0', '화 12.5']"
TCHR0610-006,2.0,교육평가,교직,"화 8A,8B
화 9A,9B",사범대학,김재욱,"1,3,2,2,3,2,0,3,2,1,1,2,0,1,3,3","화 16.0, 16.5
화 17.0, 17.5","['화 16.0', '화 16.5', '화 17.0', '화 17.5']"
TCHR0611-002,2.0,교육학개론,교직,"금 1A,1B
금 2A,2B",사범대학,박균섭,"0,0,3,3,1,1,1,2,2,0,2,0,0,0,1,0","금 9.0, 9.5
금 10.0, 10.5","['금 9.0', '금 9.5', '금 10.0', '금 10.5']"
TCHR0611-003,2.0,교육학개론,교직,"월 7A,7B
월 8A,8B",사범대학,박청미,"2,3,2,3,0,3,0,3,0,3,0,2,2,1,3,0","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
TCHR0611-004,2.0,교육학개론,교직,"목 5A,5B
목 6A,6B",사범대학,송수진,"3,3,2,1,3,0,3,2,0,0,3,3,1,1,3,0","목 13.0, 13.5
목 14.0, 14.5","['목 13.0', '목 13.5', '목 14.0', '목 14.5']"
TCHR0611-005,2.0,교육학개론,교직,"화 7A,7B
화 8A,8B",사범대학,현영섭,"0,3,1,2,1,0,1,1,3,2,3,2,2,0,1,3","화 15.0, 15.5
화 16.0, 16.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5']"
TCHR0611-006,2.0,교육학개론,교직,"목 7A,7B
목 8A,8B",사범대학,신은경,"1,0,0,1,3,2,3,0,1,1,2,3,2,3,1,3","목 15.0, 15.5
목 16.0, 16.5","['목 15.0', '목 15.5', '목 16.0', '목 16.5']"
TCHR0612-001,2.0,교육행정및교육경영,교직,"화 5A,5B
화 6A,6B",사범대학,강호수,"2,2,0,3,1,2,2,1,0,2,2,0,0,1,2,2","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
TCHR0612-002,2.0,교육행정및교육경영,교직,"월 5A,5B
월 6A,6B",사범대학,정은경,"2,2,1,3,3,3,1,2,3,1,2,0,1,1,1,3","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
TCHR0612-003,2.0,교육행정및교육경영,교직,"월 7A,7B
월 8A,8B",사범대학,정은경,"0,1,3,1,0,2,1,0,0,0,1,0,0,2,2,0","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
TCHR0612-004,2.0,교육행정및교육경영,교직,"수 5A,5B
수 6A,6B",사범대학,정은경,"0,0,1,1,2,1,2,0,1,2,1,1,2,2,1,1","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0612-005,2.0,교육행정및교육경영,교직,"수 7A,7B
수 8A,8B",사범대학,정은경,"3,2,1,0,0,3,2,0,0,1,3,2,3,3,0,0","수 15.0, 15.5
수 16.0, 16.5","['수 15.0', '수 15.5', '수 16.0', '수 16.5']"
TCHR0621-001,3.0,교육학교육론,교직,"화 7A,7B,8A
목 7A,7B,8A",사범대학,강현석,"2,0,3,1,0,0,0,3,2,1,0,1,0,0,3,0","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
CLTR0003-002,3.0,실용화법,교양,"월 2B,3A,3B
금 1A,1B,2A",사범대학,김령환,"1,0,2,0,1,3,3,2,1,3,1,1,2,0,2,1","월 10.5, 11.0, 11.5
금 9.0, 9.5, 10.0","['월 10.5', '월 11.0', '월 11.5', '금 9.0', '금 9.5', '금 10.0']"
CLTR0016-007,3.0,교양한문,교양,"월 8B,9A,9B
수 7A,7B,8A",사범대학,이규필,"2,0,3,0,3,1,2,2,1,0,3,2,1,3,0,0","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0041-016,3.0,한국사,교양,"수 8B,9A,9B
금 8B,9A,9B",사범대학,김진한,"0,3,2,1,3,1,3,0,3,2,2,1,2,0,2,1","수 16.5, 17.0, 17.5
금 16.5, 17.0, 17.5","['수 16.5', '수 17.0', '수 17.5', '금 16.5', '금 17.0', '금 17.5']"
CLTR0205-030,3.0,대학글쓰기,교양,"월 7A,7B,8A
금 7A,7B,8A",사범대학,배선윤,"3,1,3,2,2,2,2,2,3,3,1,0,2,3,2,2","월 15.0, 15.5, 16.0
금 15.0, 15.5, 16.0","['월 15.0', '월 15.5', '월 16.0', '금 15.0', '금 15.5', '금 16.0']"
TCHR0622-001,3.0,국어교육론,교직,"월 5B,6A,6B
수 5B,6A,6B",사범대학,김혜정,"3,2,3,2,1,3,0,2,3,2,1,1,2,1,3,3","월 13.5, 14.0, 14.5
수 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '수 13.5', '수 14.0', '수 14.5']"
TCHR0662-001,3.0,국어교재연구및지도법,교직,"월 5A,5B
월 6A,6B
수 5A,5B
수 6A,6B",사범대학,고춘화,"1,1,2,1,3,2,3,3,0,1,1,0,3,0,0,3","월 13.0, 13.5
월 14.0, 14.5
수 13.0, 13.5
수 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '수 13.0', '수 13.5', '수 14.0', '수 14.5']"
CLTR0078-003,3.0,심리학의이해,교양,"수 8B,9A,9B
금 8B,9A,9B",사범대학,허주연,"1,2,3,3,1,2,1,0,2,0,2,0,2,3,2,3","수 16.5, 17.0, 17.5
금 16.5, 17.0, 17.5","['수 16.5', '수 17.0', '수 17.5', '금 16.5', '금 17.0', '금 17.5']"
CLTR0205-031,3.0,대학글쓰기,교양,"화 1A,1B,2A
목 2B,3A,3B",사범대학,이상숙,"0,3,1,2,2,0,1,1,1,2,1,2,3,0,0,3","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
CLTR0042-002,3.0,동양의역사와문화,교양,"월 8B,9A,9B
수 7A,7B,8A",사범대학,이영철,"1,3,3,1,3,0,3,0,2,0,1,3,2,2,0,2","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0103-006,3.0,과학사의이해,교양,"화 1A,1B,2A
목 2B,3A,3B",사범대학,민길식,"3,0,3,2,2,3,3,3,2,1,0,2,1,1,1,2","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
TCHR0628-001,3.0,역사교육론,교직,"화 1A,1B,2A
수 1A,1B,2A",사범대학,방지원,"1,3,0,0,1,3,3,1,1,0,1,0,3,0,0,0","화 9.0, 9.5, 10.0
수 9.0, 9.5, 10.0","['화 9.0', '화 9.5', '화 10.0', '수 9.0', '수 9.5', '수 10.0']"
TCHR0668-001,3.0,역사교재연구및지도법,교직,"월 5A,5B
월 6A,6B
월 7A,7B
월 8A,8B
월 9A,9B",사범대학,방지원,"3,2,1,1,2,2,3,0,0,0,0,0,2,3,1,1","월 13.0, 13.5
월 14.0, 14.5
월 15.0, 15.5
월 16.0, 16.5
월 17.0, 17.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '월 15.0', '월 15.5', '월 16.0', '월 16.5', '월 17.0', '월 17.5']"
TCHR0668-002,3.0,역사교재연구및지도법,교직,"수 5B,6A,6B
수 7A,7B,8A",사범대학,방지원,"2,2,3,3,0,3,2,0,0,3,0,3,2,3,0,2","수 13.5, 14.0, 14.5
수 15.0, 15.5, 16.0","['수 13.5', '수 14.0', '수 14.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0101-007,3.0,인간과자연,교양,"수 1A,1B,2A
금 2B,3A,3B",사범대학,최재우,"1,3,1,3,2,3,1,1,1,0,3,1,0,3,0,2","수 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['수 9.0', '수 9.5', '수 10.0', '금 10.5', '금 11.0', '금 11.5']"
TCHR0476-001,3.0,지리 논리 및 논술지도,교직,"화 5A,5B
화 6A,6B
목 5A,5B
목 6A,6B",사범대학,조철기,"0,3,0,1,1,1,2,2,3,1,3,1,3,1,0,3","화 13.0, 13.5
화 14.0, 14.5
목 13.0, 13.5
목 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5', '목 13.0', '목 13.5', '목 14.0', '목 14.5']"
TCHR0633-001,3.0,지리교육론,교직,"화 1A,1B,2A
목 1A,1B,2A",사범대학,조철기,"0,0,2,3,2,1,3,1,3,2,2,3,3,0,0,0","화 9.0, 9.5, 10.0
목 9.0, 9.5, 10.0","['화 9.0', '화 9.5', '화 10.0', '목 9.0', '목 9.5', '목 10.0']"
CLTR0094-003,3.0,문화인류학의이해,교양,"화 7A,7B,8A
목 7A,7B,8A",사범대학,이준원,"2,3,0,1,2,1,0,1,0,3,3,2,0,2,3,3","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
CLTR0112-003,3.0,생활속의통계,교양,"화 1A,1B,2A
목 2B,3A,3B",사범대학,윤연옥,"0,1,1,2,3,1,3,3,3,2,2,0,1,1,0,2","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
TCHR0474-001,3.0,일반사회 논리 및 논술지도,교직,"목 9A,9B
목 10A,10B
목 11A,11B
목 12A,12B",사범대학,김우철,"3,3,0,3,3,1,3,3,0,0,1,2,3,2,0,0","목 17.0, 17.5
목 18.0, 18.5
목 19.0","['목 17.0', '목 17.5', '목 18.0', '목 18.5', '목 19.0']"
TCHR0631-001,3.0,일반사회교육론,교직,"수 10A,10B,11A
수 11B,12A,12B",사범대학,김우철,"1,2,3,2,2,2,2,1,3,2,3,3,1,3,3,1","수 18.0, 18.5, 19.0","['수 18.0', '수 18.5', '수 19.0']"
TCHR0671-001,3.0,일반사회교재연구및지도법,교직,"화 9A,9B
화 10A,10B
화 11A,11B
화 12A,12B",사범대학,김우철,"2,1,2,0,0,0,0,0,1,1,3,2,2,0,0,3","화 17.0, 17.5
화 18.0, 18.5
화 19.0","['화 17.0', '화 17.5', '화 18.0', '화 18.5', '화 19.0']"
CLTR0073-003,3.0,현대사회와 윤리,교양,"월 8B,9A,9B
수 7A,7B,8A",사범대학,임경헌,"3,1,0,0,0,1,3,2,3,2,1,0,2,2,3,3","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0551-001,3.0,중국의 사상과 윤리,교양,"금 5B,6A,6B
금 7A,7B,8A",사범대학,김용수,"1,1,0,0,0,0,2,1,1,2,3,0,3,2,2,2","금 13.5, 14.0, 14.5
금 15.0, 15.5, 16.0","['금 13.5', '금 14.0', '금 14.5', '금 15.0', '금 15.5', '금 16.0']"
CLTR0601-001,3.0,인문과 예술로 만나는 삶과 인성,교양,"월 5B,6A,6B
금 5B,6A,6B",사범대학,이정렬,"2,2,2,2,0,1,1,2,0,1,2,2,2,2,2,3","월 13.5, 14.0, 14.5
금 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '금 13.5', '금 14.0', '금 14.5']"
CLTR0620-001,3.0,통일과 남북한 관계의 이해,교양,"금 1A,1B,2A
금 2B,3A,3B",사범대학,김영하,"1,1,0,0,0,2,1,2,0,1,3,0,2,3,2,3","금 9.0, 9.5, 10.0
금 10.5, 11.0, 11.5","['금 9.0', '금 9.5', '금 10.0', '금 10.5', '금 11.0', '금 11.5']"
TCHR0467-001,3.0,도덕·윤리 논리 및 논술지도,교직,"수 5B,6A,6B
금 7A,7B,8A",사범대학,이정렬,"2,1,2,0,0,0,3,1,3,1,3,0,2,0,2,1","수 13.5, 14.0, 14.5
금 15.0, 15.5, 16.0","['수 13.5', '수 14.0', '수 14.5', '금 15.0', '금 15.5', '금 16.0']"
TCHR0588-001,3.0,도덕·윤리교재연구및지도법,교직,"월 7A,7B
월 8A,8B
수 7A,7B
수 8A,8B",사범대학,이정렬,"2,3,0,2,0,0,1,3,3,1,2,0,1,0,1,0","월 15.0, 15.5
월 16.0, 16.5
수 15.0, 15.5
수 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5', '수 15.0', '수 15.5', '수 16.0', '수 16.5']"
CLTR0045-014,3.0,논리와 비판적 사고,교양,"월 5B,6A,6B
금 5B,6A,6B",사범대학,김상현,"1,1,1,1,0,0,1,2,0,2,3,2,0,3,1,3","월 13.5, 14.0, 14.5
금 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '금 13.5', '금 14.0', '금 14.5']"
CLTR0211-023,3.0,수학 I,교양,"월 7A,7B,8A
금 7A,7B,8A",사범대학,심우주,"0,0,1,3,1,0,0,1,0,3,0,3,1,3,2,0","월 15.0, 15.5, 16.0
금 15.0, 15.5, 16.0","['월 15.0', '월 15.5', '월 16.0', '금 15.0', '금 15.5', '금 16.0']"
TCHR0578-001,3.0,중학교수학교재연구및지도법,교직,"화 1A,1B,2A
목 2B,3A,3B",사범대학,이봉주,"2,3,3,3,1,1,1,3,1,0,0,0,2,1,0,0","화 9.0, 9.5, 10.0
목 10.5, 11.0, 11.5","['화 9.0', '화 9.5', '화 10.0', '목 10.5', '목 11.0', '목 11.5']"
CLTR0211-024,3.0,수학 I,교양,"월 5B,6A,6B
금 5B,6A,6B",사범대학,박은미,"0,3,3,0,1,2,2,1,0,3,0,2,3,0,2,1","월 13.5, 14.0, 14.5
금 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '금 13.5', '금 14.0', '금 14.5']"
CLTR0820-005,3.0,기초수학1,교양,"월 2B,3A,3B
금 1A,1B,2A",사범대학,박은미,"2,0,2,1,1,0,0,1,2,1,0,0,0,0,2,2","월 10.5, 11.0, 11.5
금 9.0, 9.5, 10.0","['월 10.5', '월 11.0', '월 11.5', '금 9.0', '금 9.5', '금 10.0']"
TCHR0469-001,3.0,물리 논리 및 논술지도,교직,"금 2A,2B
금 3A,3B
금 4A,4B",사범대학,윤은정,"2,3,2,1,2,1,1,0,1,1,3,2,1,2,0,2","금 10.0, 10.5
금 11.0, 11.5
금 12.0, 12.5","['금 10.0', '금 10.5', '금 11.0', '금 11.5', '금 12.0', '금 12.5']"
TCHR0636-001,3.0,물리교육론,교직,"화 7A,7B,8A
목 7A,7B,8A",사범대학,하상우,"0,3,3,1,1,2,2,0,0,1,3,0,0,3,1,0","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
TCHR0676-001,3.0,물리교재연구및지도법,교직,"월 5A,5B
월 6A,6B
월 7A,7B
수 5A,5B
수 6A,6B",사범대학,하상우,"1,0,2,1,0,1,1,3,2,1,3,2,0,2,2,1","월 13.0, 13.5
월 14.0, 14.5
월 15.0, 15.5
수 13.0, 13.5
수 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '월 15.0', '월 15.5', '수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0677-001,3.0,화학교재연구및지도법,교직,"화 7A,7B
화 8A,8B
목 7A,7B
목 8A,8B",사범대학,박종석,"1,0,1,1,1,1,0,2,2,1,1,0,3,2,3,0","화 15.0, 15.5
화 16.0, 16.5
목 15.0, 15.5
목 16.0, 16.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5', '목 15.0', '목 15.5', '목 16.0', '목 16.5']"
CLTR0041-018,3.0,한국사,교양,"월 2B,3A,3B
금 1A,1B,2A",사범대학,송석현,"2,1,1,1,3,2,0,1,0,3,2,1,2,1,2,1","월 10.5, 11.0, 11.5
금 9.0, 9.5, 10.0","['월 10.5', '월 11.0', '월 11.5', '금 9.0', '금 9.5', '금 10.0']"
TCHR0561-001,3.0,생명과학교육론,교직,"월 5B,6A,6B
수 5B,6A,6B",사범대학,김영신,"3,0,2,0,3,0,3,2,3,1,1,2,2,3,3,3","월 13.5, 14.0, 14.5
수 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '수 13.5', '수 14.0', '수 14.5']"
TCHR0563-001,3.0,생명과학 논리 및 논술지도,교직,"월 7A,7B
월 8A,8B
월 9A,9B
수 2A,2B
수 3A,3B",사범대학,김영신,"1,1,0,3,0,3,1,1,0,0,2,2,0,3,3,3","월 15.0, 15.5
월 16.0, 16.5
월 17.0, 17.5
수 10.0, 10.5
수 11.0, 11.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5', '월 17.0', '월 17.5', '수 10.0', '수 10.5', '수 11.0', '수 11.5']"
CLTR0041-019,3.0,한국사,교양,"화 7A,7B,8A
목 7A,7B,8A",사범대학,김명자,"0,0,3,0,2,0,2,0,2,0,1,2,2,2,0,0","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
CLTR0041-017,3.0,한국사,교양,"월 5B,6A,6B
금 5B,6A,6B",사범대학,김영나,"3,2,2,1,2,0,3,0,0,3,1,2,2,0,0,1","월 13.5, 14.0, 14.5
금 13.5, 14.0, 14.5","['월 13.5', '월 14.0', '월 14.5', '금 13.5', '금 14.0', '금 14.5']"
CLTR0102-001,3.0,자연과학의이해,교양,"월 1A,1B,2A
수 2B,3A,3B",사범대학,이형철,"0,3,0,1,0,3,3,2,0,1,2,3,2,3,3,1","월 9.0, 9.5, 10.0
수 10.5, 11.0, 11.5","['월 9.0', '월 9.5', '월 10.0', '수 10.5', '수 11.0', '수 11.5']"
TCHR0461-001,3.0,가정과 논리 및 논술지도,교직,"월 5A,5B
월 6A,6B
월 7A,7B
수 2A,2B
수 3A,3B",사범대학,김은정,"3,3,3,3,1,2,1,1,0,0,3,0,3,1,3,1","월 13.0, 13.5
월 14.0, 14.5
월 15.0, 15.5
수 10.0, 10.5
수 11.0, 11.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '월 15.0', '월 15.5', '수 10.0', '수 10.5', '수 11.0', '수 11.5']"
TCHR0589-001,3.0,가정과교육론,교직,"수 5B,6A,6B
수 7A,7B,8A",사범대학,김은정,"1,3,2,3,2,0,1,0,3,1,1,1,3,1,0,2","수 13.5, 14.0, 14.5
수 15.0, 15.5, 16.0","['수 13.5', '수 14.0', '수 14.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0180-001,1.0,골프,교양,"월 5A,5B
월 6A,6B",사범대학,길민정,"0,1,1,2,0,3,0,1,3,2,2,3,2,0,0,1","월 13.0, 13.5
월 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5']"
CLTR0180-002,1.0,골프,교양,"화 5A,5B
화 6A,6B",사범대학,김은지,"2,3,3,0,2,0,1,3,1,0,3,0,1,0,3,3","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
CLTR0180-003,1.0,골프,교양,"수 5A,5B
수 6A,6B",사범대학,길민정,"1,3,2,2,0,3,2,2,0,0,2,0,0,2,1,3","수 13.0, 13.5
수 14.0, 14.5","['수 13.0', '수 13.5', '수 14.0', '수 14.5']"
CLTR0180-004,1.0,골프,교양,"금 5A,5B
금 6A,6B",사범대학,선민규,"0,1,1,2,1,0,1,0,0,1,2,3,0,2,0,0","금 13.0, 13.5
금 14.0, 14.5","['금 13.0', '금 13.5', '금 14.0', '금 14.5']"
CLTR0181-001,1.0,호신술,교양,"목 6A,6B
목 7A,7B",사범대학,차무성,"1,1,0,0,0,1,3,3,2,3,2,0,3,3,2,1","목 14.0, 14.5
목 15.0, 15.5","['목 14.0', '목 14.5', '목 15.0', '목 15.5']"
CLTR0181-002,1.0,호신술,교양,"목 3A,3B
목 4A,4B",사범대학,차무성,"1,3,3,1,0,0,2,2,0,0,1,3,0,2,0,2","목 11.0, 11.5
목 12.0, 12.5","['목 11.0', '목 11.5', '목 12.0', '목 12.5']"
CLTR0181-003,1.0,호신술,교양,"금 1A,1B
금 2A,2B",사범대학,김준수,"0,3,2,2,1,1,3,1,1,3,1,1,2,3,2,3","금 9.0, 9.5
금 10.0, 10.5","['금 9.0', '금 9.5', '금 10.0', '금 10.5']"
CLTR0183-001,1.0,캠핑,교양,"화 5A,5B
화 6A,6B",사범대학,한윤수,"3,3,0,2,1,1,0,3,1,2,2,2,0,0,0,2","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
CLTR0183-002,1.0,캠핑,교양,"목 5A,5B
목 6A,6B",사범대학,한윤수,"0,2,3,1,0,3,1,3,2,0,2,0,2,3,0,1","목 13.0, 13.5
목 14.0, 14.5","['목 13.0', '목 13.5', '목 14.0', '목 14.5']"
CLTR0183-003,1.0,캠핑,교양,"목 5A,5B
목 6A,6B",사범대학,이규일,"2,0,3,2,2,2,2,0,0,0,0,2,3,2,3,0","목 13.0, 13.5
목 14.0, 14.5","['목 13.0', '목 13.5', '목 14.0', '목 14.5']"
CLTR0210-022,3.0,명저읽기와 토론,교양,"월 8B,9A,9B
수 7A,7B,8A",사범대학,김경오,"3,1,3,3,0,2,0,2,2,2,3,0,0,3,2,1","월 16.5, 17.0, 17.5
수 15.0, 15.5, 16.0","['월 16.5', '월 17.0', '월 17.5', '수 15.0', '수 15.5', '수 16.0']"
CLTR0401-001,2.0,체력 컨디셔닝,교양,"화 7A,7B
화 8A,8B
화 9A,9B",사범대학,박현권,"3,0,1,2,1,1,3,1,2,2,3,2,3,1,1,0","화 15.0, 15.5
화 16.0, 16.5
화 17.0, 17.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5', '화 17.0', '화 17.5']"
CLTR0652-001,1.0,생활테니스,교양,"화 5A,5B
화 6A,6B",사범대학,박성기,"2,1,0,1,3,0,0,0,3,2,3,0,2,3,3,3","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
CLTR0652-002,1.0,생활테니스,교양,"수 7A,7B
수 8A,8B",사범대학,최승우,"2,3,0,1,1,3,2,1,2,1,2,1,0,3,2,2","수 15.0, 15.5
수 16.0, 16.5","['수 15.0', '수 15.5', '수 16.0', '수 16.5']"
CLTR0652-003,1.0,생활테니스,교양,"목 7A,7B
목 8A,8B",사범대학,최승우,"0,3,1,0,1,3,1,3,3,3,0,2,3,1,2,0","목 15.0, 15.5
목 16.0, 16.5","['목 15.0', '목 15.5', '목 16.0', '목 16.5']"
CLTR0652-004,1.0,생활테니스,교양,"금 7A,7B
금 8A,8B",사범대학,최승우,"2,2,3,0,2,2,1,1,1,2,1,0,2,3,0,1","금 15.0, 15.5
금 16.0, 16.5","['금 15.0', '금 15.5', '금 16.0', '금 16.5']"
CLTR0654-001,1.0,댄스스포츠,교양,"월 7A,7B
월 8A,8B",사범대학,박찬숙,"1,1,3,3,0,0,0,0,1,0,1,3,3,1,0,3","월 15.0, 15.5
월 16.0, 16.5","['월 15.0', '월 15.5', '월 16.0', '월 16.5']"
CLTR0654-002,1.0,댄스스포츠,교양,"화 7A,7B
화 8A,8B",사범대학,이은하,"2,0,2,0,1,1,3,1,1,3,3,1,2,1,2,2","화 15.0, 15.5
화 16.0, 16.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5']"
CLTR0654-003,1.0,댄스스포츠,교양,"수 7A,7B
수 8A,8B",사범대학,권세영,"0,1,2,2,0,0,0,3,1,3,3,2,2,1,3,0","수 15.0, 15.5
수 16.0, 16.5","['수 15.0', '수 15.5', '수 16.0', '수 16.5']"
CLTR0654-004,1.0,댄스스포츠,교양,"목 2A,2B
목 3A,3B",사범대학,이은하,"1,1,3,2,2,1,0,2,3,2,1,0,3,0,0,1","목 10.0, 10.5
목 11.0, 11.5","['목 10.0', '목 10.5', '목 11.0', '목 11.5']"
CLTR0657-001,1.0,생활배드민턴,교양,"월 3A,3B
월 4A,4B",사범대학,장지형,"1,3,0,0,3,2,1,2,0,1,3,1,0,0,3,0","월 11.0, 11.5
월 12.0, 12.5","['월 11.0', '월 11.5', '월 12.0', '월 12.5']"
CLTR0657-002,1.0,생활배드민턴,교양,"수 3A,3B
수 4A,4B",사범대학,장지형,"0,1,0,1,1,2,1,2,0,0,2,0,0,3,0,3","수 11.0, 11.5
수 12.0, 12.5","['수 11.0', '수 11.5', '수 12.0', '수 12.5']"
CLTR0657-003,1.0,생활배드민턴,교양,"화 5A,5B
화 6A,6B",사범대학,장지형,"1,2,1,3,3,2,0,0,2,0,2,3,2,3,2,1","화 13.0, 13.5
화 14.0, 14.5","['화 13.0', '화 13.5', '화 14.0', '화 14.5']"
CLTR0658-001,1.0,생활수영,교양,"월 1A,1B
월 2A,2B",사범대학,정재후,"3,0,2,0,1,2,3,3,3,2,0,0,2,2,3,0","월 9.0, 9.5
월 10.0, 10.5","['월 9.0', '월 9.5', '월 10.0', '월 10.5']"
CLTR0658-002,1.0,생활수영,교양,"화 1A,1B
화 2A,2B",사범대학,정재후,"2,2,0,2,3,0,1,0,0,0,0,1,3,1,3,1","화 9.0, 9.5
화 10.0, 10.5","['화 9.0', '화 9.5', '화 10.0', '화 10.5']"
CLTR0658-004,1.0,생활수영,교양,"목 1A,1B
목 2A,2B",사범대학,정재후,"2,1,3,3,3,0,1,2,1,0,2,3,1,1,2,0","목 9.0, 9.5
목 10.0, 10.5","['목 9.0', '목 9.5', '목 10.0', '목 10.5']"
CLTR0846-001,3.0,운동과 뇌,교양,"화 7A,7B,8A
목 7A,7B,8A",사범대학,이규일,"3,0,0,3,1,1,3,3,2,1,3,2,3,0,2,1","화 15.0, 15.5, 16.0
목 15.0, 15.5, 16.0","['화 15.0', '화 15.5', '화 16.0', '목 15.0', '목 15.5', '목 16.0']"
TCHR0477-001,3.0,체육 논리 및 논술지도,교직,"월 5A,5B
월 6A,6B
월 7A,7B
수 5A,5B
수 6A,6B",사범대학,이규일,"3,1,1,2,0,2,0,0,1,2,2,3,3,1,0,3","월 13.0, 13.5
월 14.0, 14.5
월 15.0, 15.5
수 13.0, 13.5
수 14.0, 14.5","['월 13.0', '월 13.5', '월 14.0', '월 14.5', '월 15.0', '월 15.5', '수 13.0', '수 13.5', '수 14.0', '수 14.5']"
TCHR0651-001,3.0,체육교육론,교직,"화 7A,7B,8A
화 8B,9A,9B",사범대학,이안수,"0,3,2,3,3,2,0,3,3,0,2,1,1,2,3,0","화 15.0, 15.5, 16.0
화 16.5, 17.0, 17.5","['화 15.0', '화 15.5', '화 16.0', '화 16.5', '화 17.0', '화 17.5']"
